City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint George,US,2022-09-17 19:37:25,37.1041,-113.5841,87.44,30,0,4.0
68,Hofn,IS,2022-09-17 19:37:26,64.2539,-15.2082,45.73,80,97,7.16
69,Canavieiras,BR,2022-09-17 19:37:26,-15.675,-38.9472,80.56,73,17,9.37
70,Brightwater,NZ,2022-09-17 19:37:26,-41.3833,173.1167,48.0,76,64,1.45
71,Hualmay,PE,2022-09-17 19:37:26,-11.0964,-77.6139,66.42,75,43,13.13
72,Hearst,CA,2022-09-17 19:37:27,49.6835,-83.6665,55.65,97,100,6.85
73,Kimbe,PG,2022-09-17 19:37:27,-5.5502,150.1429,72.91,90,89,4.54
74,Colchester,GB,2022-09-17 19:37:27,51.8892,0.9042,56.73,62,86,5.7
75,Thinadhoo,MV,2022-09-17 19:37:28,0.5333,72.9333,81.99,68,8,5.99
76,Mae Sai,TH,2022-09-17 19:37:28,20.4335,99.8762,72.61,99,99,0.51
77,Mar Del Plata,AR,2022-09-17 19:35:43,-38.0023,-57.5575,63.09,88,100,25.01
78,Payson,US,2022-09-17 19:36:45,40.0444,-111.7321,77.4,47,40,4.61
79,Surgut,RU,2022-09-17 19:37:28,61.25,73.4167,53.78,54,0,7.0
80,Coahuayana,MX,2022-09-17 19:37:29,18.7333,-103.6833,77.76,93,100,2.33
81,Karachi,PK,2022-09-17 19:34:25,24.9056,67.0822,82.22,78,75,5.75
82,Ahipara,NZ,2022-09-17 19:37:29,-35.1667,173.1667,52.48,73,25,5.88
83,Ust-Maya,RU,2022-09-17 19:37:29,60.4167,134.5333,36.43,73,100,3.0
84,Parakou,BJ,2022-09-17 19:37:29,9.3372,2.6303,72.9,94,99,4.43
85,Linhares,BR,2022-09-17 19:37:30,-19.3911,-40.0722,62.98,89,100,7.81
86,Ahuimanu,US,2022-09-17 19:37:30,21.4447,-157.8378,84.16,69,20,6.91
87,Torbay,CA,2022-09-17 19:37:30,47.6666,-52.7314,59.58,78,75,21.85
88,Baker,US,2022-09-17 19:37:31,30.5882,-91.1682,90.84,53,75,9.22
89,Bhan,PK,2022-09-17 19:37:31,26.5583,67.7214,87.04,57,2,7.05
90,Tiksi,RU,2022-09-17 19:37:31,71.6872,128.8694,34.5,95,99,6.87
91,Kikwit,CD,2022-09-17 19:37:31,-5.041,18.8162,76.51,75,100,1.61
92,Beringovskiy,RU,2022-09-17 19:37:32,63.05,179.3167,41.07,85,96,17.29
93,Jinka,ET,2022-09-17 19:38:32,5.65,36.65,71.55,51,88,1.12
94,Zharkent,KZ,2022-09-17 19:38:32,44.1628,80.0,60.67,31,5,4.23
95,Narsaq,GL,2022-09-17 19:38:33,60.9167,-46.05,61.02,92,100,3.27
96,Dunda,TZ,2022-09-17 19:38:33,-8.1167,34.25,66.27,60,14,3.51
97,Zhigansk,RU,2022-09-17 19:38:33,66.7697,123.3711,30.78,88,100,10.4
98,Namibe,AO,2022-09-17 19:38:33,-15.1961,12.1522,65.48,91,60,8.55
99,San Quintin,MX,2022-09-17 19:38:34,30.4833,-115.95,72.45,64,0,14.54
100,Ilam,NP,2022-09-17 19:38:34,26.9167,87.9167,68.56,91,100,2.93
101,Saldanha,ZA,2022-09-17 19:38:35,-33.0117,17.9442,53.65,72,100,14.56
102,Port Elizabeth,ZA,2022-09-17 19:33:42,-33.918,25.5701,61.11,89,0,12.66
103,Bhopal,IN,2022-09-17 19:37:32,23.2667,77.4,71.2,91,6,5.84
104,Hermanus,ZA,2022-09-17 19:38:35,-34.4187,19.2345,53.8,72,100,5.86
105,Nyurba,RU,2022-09-17 19:38:35,63.2842,118.3319,28.58,89,34,7.94
106,Laguna,US,2022-09-17 19:38:36,38.421,-121.4238,80.08,48,0,11.5
107,Butaritari,KI,2022-09-17 19:38:36,3.0707,172.7902,81.66,71,100,12.17
108,Whitehorse,CA,2022-09-17 19:37:35,60.7161,-135.0538,52.11,57,20,9.22
109,Cidreira,BR,2022-09-17 19:38:36,-30.1811,-50.2056,62.82,76,3,18.19
110,Klaksvik,FO,2022-09-17 19:38:37,62.2266,-6.589,47.32,74,100,4.61
111,Mbalmayo,CM,2022-09-17 19:38:37,3.5167,11.5,68.04,99,100,3.56
112,Tessalit,ML,2022-09-17 19:38:37,20.1986,1.0114,94.37,23,57,8.03
113,Clyde River,CA,2022-09-17 19:38:37,70.4692,-68.5914,35.83,87,100,16.11
114,Victoria,HK,2022-09-17 19:35:32,22.2855,114.1577,87.19,81,79,8.99
115,Provideniya,RU,2022-09-17 19:38:38,64.3833,-173.3,45.01,90,100,12.97
116,Ilulissat,GL,2022-09-17 19:34:12,69.2167,-51.1,37.42,87,75,4.61
117,Gusino,RU,2022-09-17 19:38:38,54.7244,31.368,53.24,58,100,7.67
118,Sitka,US,2022-09-17 19:38:38,57.0531,-135.33,53.49,82,0,0.0
119,Chernyshevskiy,RU,2022-09-17 19:38:39,63.0128,112.4714,27.12,79,14,9.55
120,Esperance,AU,2022-09-17 19:38:39,-33.8667,121.9,53.76,82,3,2.37
121,Arraial Do Cabo,BR,2022-09-17 19:38:39,-22.9661,-42.0278,71.46,60,40,12.66
122,Tromso,NO,2022-09-17 19:34:57,69.6496,18.957,48.22,76,75,11.5
123,Lashio,MM,2022-09-17 19:38:40,22.9333,97.75,66.88,99,100,0.22
